id;number;broker_id;customer_id;created_date;status;created_by;insured_names;additional_insured;benificiary_name;policy_type_id;effective_date;duration;number_of_days;additional_info;mainteneace_period;trial_period
1;Communications iterate;20545;46604;2021-04-21;New;Pants Metal;maximize;Leone program;content Representative;83341;2021-04-22;23356;9843;Cotton Outlying Granite;80695;7102
2;digital Causeway purple;59654;68077;2021-04-21;New;indexing;Chicken real-time auxiliary;FTP;Group Granite wireless;65078;2021-04-21;6647;50032;Fish Shore;29108;60627
3;Forward;63551;42375;2021-04-22;InProgress;Account;discrete;EXE matrix azure;Uruguay Kentucky;60174;2021-04-22;47192;39112;Jewelery;9794;55880
4;connect;8295;25794;2021-04-21;InProgress;synergistic;capacitor;Home hard Wooden;Pike;26377;2021-04-21;99176;30081;User-friendly iterate;47404;91753
5;Metrics;29196;72355;2021-04-21;InProgress;Factors;optical;PNG synthesize;Awesome;21925;2021-04-21;45407;4750;viral Stravenue JBOD;48236;24383
6;invoice Mobility;65427;89805;2021-04-21;New;Health;state Arizona;invoice impactful Agent;withdrawal Camp supply-chains;93989;2021-04-22;96010;53125;fault-tolerant Consultant Generic;32101;49935
7;Towels Savings matrix;52205;15038;2021-04-21;InProgress;e-business;Associate Handcrafted;repurpose plum cross-platform;connect convergence;32447;2021-04-21;34700;38402;CSS Direct Concrete;41486;15138
8;infrastructure;27907;70111;2021-04-21;Rejected;Account e-commerce services;Assurance Practical Key;synthesize visualize;Australia state;84769;2021-04-21;38980;46908;Analyst Advanced data-warehouse;569;9269
9;Operations;9255;49835;2021-04-21;Rejected;Pants transmitter Assistant;Generic bypassing Market;Account Small;indexing;20938;2021-04-21;79260;83239;Account;19176;81033
10;Specialist Germany;48110;99820;2021-04-22;Rejected;Inlet Checking;cross-platform;Orchestrator Cambodia hacking;monitor;70315;2021-04-22;8658;90140;evolve yellow interface;77931;44385
